,task_uuid,level_number,chat,phrase,reference_type,valence,compound,features,notes
394,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,6,First collected: 0 Second collected: 9,First collected: 0 ,object_behavior,zero,,,
394,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,6,First collected: 0 Second collected: 9,Second collected: 9,object_behavior,positive,,,
1133,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,6,"first one was -7, the others were small amounts 2,1,1. ",,object_behavior,multiple,,,
1137,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,9,"first was a 0, the corner was a 0 the 2 you split were 8's",,object_behavior,multiple,,,
1158,AMA18W8F60Y2J:326O153BMKM1DJFJMEWYRWKCYVKDE5,3,Get all the block in upper left hand corner,,object_spatial,positive,,,
1159,AMA18W8F60Y2J:326O153BMKM1DJFJMEWYRWKCYVKDE5,4,Get all the blocks in the left hand lower corner,,object_spatial,positive,,,
1157,AMA18W8F60Y2J:326O153BMKM1DJFJMEWYRWKCYVKDE5,2,Get all the blocks in the lower right corner,,object_spatial,positive,,,
855,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,1,"Get the 2 purple ones next to you, then head down to the lower purple one",Get the 2 purple ones next to you,features,positive,,pink,also behavioral
855,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,1,"Get the 2 purple ones next to you, then head down to the lower purple one",then head down to the lower purple one,features,positive,,pink,implicature?
1156,AMA18W8F60Y2J:326O153BMKM1DJFJMEWYRWKCYVKDE5,1,Get the block directly to your left and the one slightly above that.,,object_behavior,positive,,,
1161,AMA18W8F60Y2J:326O153BMKM1DJFJMEWYRWKCYVKDE5,5,Get the blocks in lower right hand corner,,object_spatial,positive,,,
12,A12HZGOZQD5YK7:3HUTX6F6VWB0M0USJ3FD0PNM565O2F,1,get the pink and blue circles,,features,positive,,"pink, blue, circle",
1245,AZACNY1H74YWS:30LSNF239WJQQEJPL828GSR0TAA2IS,1,get the yellow,,features,positive,,yellow,
99,A15XIKX3PI7SLK:3GLB5JMZFZJZXXBAS9MMRZ5OBQSDG9,2,get those white circles and pink circles.,,features,positive,,"white, circle, pink",
223,A1OIXGF4N7O93T:3UJ1CZ6IZJD7JP5883YKI10ZMJLS5V,4,go bottom,,object_spatial,positive,,,
380,A26Y58YECZUZZG:32N49TQG3I6KHNYTXUU61Z0SD2VVAQ,3,Go for circles avoid boxes,Go for circles ,features,positive,,circle,
380,A26Y58YECZUZZG:32N49TQG3I6KHNYTXUU61Z0SD2VVAQ,3,Go for circles avoid boxes,avoid boxes,features,negative,,square,
334,A22LZ62E0UC4VL:3OE22WJIGKCCROGAH0HNVDDE301QU6,1,"Go for circles, yellow first.",,features,positive,,"yellow, circle",
652,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,1,go for circles. No squares,go for circles,features,positive,,circle,
652,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,1,go for circles. No squares,No squares,features,negative,,square,
408,A28HDBWFTOID89:3II4UPYCOLVQAM5OV5RYLD9QHD1QDH,7,go for lower right,,object_spatial,positive,,,
799,A39XIQCFSCNHFU:39LNWE0K4WKZAQSR4SCEMBMSC3FIUG,1,go straight up,,object_spatial,positive,,,
4,A10AVWALIHR4UQ:3Z7EFSHGNB20ER0MHNRFVFN1TGCCX0,4,good,,trajectory,positive,,,
14,A12HZGOZQD5YK7:3HUTX6F6VWB0M0USJ3FD0PNM565O2F,3,good,,trajectory,positive,yes,,
45,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,10,good,,trajectory,positive,,,
160,A18XFOKU5G1OL1:3X3OR7WPZ1O32UTKMS8MIZWVWGHL8H,3,good,,trajectory,positive,,,
163,A18XFOKU5G1OL1:3X3OR7WPZ1O32UTKMS8MIZWVWGHL8H,6,good,,trajectory,positive,,,
166,A18XFOKU5G1OL1:3X3OR7WPZ1O32UTKMS8MIZWVWGHL8H,8,good,,trajectory,positive,,,
220,A1OIXGF4N7O93T:3UJ1CZ6IZJD7JP5883YKI10ZMJLS5V,2,good,,trajectory,positive,,,
359,A23BWWRR7J5XLS:3UXUOQ9OKGLI6XXXFWRQVLKPRKCA71,7,good,,trajectory,positive,,,
571,A2N8FYNKM133KF:3KRVW3HTZP95RWQE02F6Z3BL8F6SMI,3,good,,trajectory,positive,,,
822,A3BFMY5OX2WMUW:3OCHAWUVGQ8IXPCA908DJY09YPDKXD,6,Good,,trajectory,positive,,,
955,A3LXD82BMSRT2F:3MRNMEIQW7UFJPPB30J24RAW77EDLF,5,good,,trajectory,positive,,,
956,A3LXD82BMSRT2F:3MRNMEIQW7UFJPPB30J24RAW77EDLF,6,good,,trajectory,positive,,,
960,A3LXD82BMSRT2F:3MRNMEIQW7UFJPPB30J24RAW77EDLF,10,good,,trajectory,positive,,,
1265,AZNIEFUIVB2H0:3IO1LGZLKBLLJ9QDZO2KTGEY66Z687,8,"good ,would have gone upper left",good,trajectory,positive,,,
1265,AZNIEFUIVB2H0:3IO1LGZLKBLLJ9QDZO2KTGEY66Z687,8,"good ,would have gone upper left",would have gone upper left,object_spatial,positive,,,
556,A2MWAXV1YRK5GH:3AWETUDC94GGWPM1AFBM3317E60ZIY,1,"good choice, cyan shapes",good choice,trajectory,positive,,,
556,A2MWAXV1YRK5GH:3AWETUDC94GGWPM1AFBM3317E60ZIY,1,"good choice, cyan shapes",cyan shapes,features,positive,,blue,
214,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,10,Good decision again!,,trajectory,positive,,,
958,A3LXD82BMSRT2F:3MRNMEIQW7UFJPPB30J24RAW77EDLF,8,good game,,trajectory,positive,,,
1186,AMX5R6NLYNA2K:35BLDD71I8LLIV619MA5ISR1MAXVZW,10,good game,,trajectory,positive,,,
347,A22LZ62E0UC4VL:3OE22WJIGKCCROGAH0HNVDDE301QU6,7,Good going!,,trajectory,positive,,,
32,A12OZ7P7Z41SJI:3LEP4MGT3IO36G3ZCNU8QOERVD0DBS,10,good job,,trajectory,positive,,,
63,A14W79OV7SNWIV:36TFCYNS46YRVZB23F5G66KH6TOXH7,9,good job,,trajectory,positive,,,
150,A17AF9I56P3RVV:3EWIJTFFVQV7EZEPA283CP0T4JN0E1,8,good job,,trajectory,positive,,,
154,A17AF9I56P3RVV:3EWIJTFFVQV7EZEPA283CP0T4JN0E1,10,good job,,trajectory,positive,,,
381,A26Y58YECZUZZG:32N49TQG3I6KHNYTXUU61Z0SD2VVAQ,4,Good job,,trajectory,positive,,,
498,A2H8GNSEVUJXYL:3KRVW3HTZP95RWQE02F6Z3BL83USMI,2,good job,,trajectory,positive,,,
504,A2H8GNSEVUJXYL:3KRVW3HTZP95RWQE02F6Z3BL83USMI,8,good job,,trajectory,positive,,,
566,A2MWAXV1YRK5GH:3AWETUDC94GGWPM1AFBM3317E60ZIY,9,good job,,trajectory,positive,,,
569,A2N8FYNKM133KF:3KRVW3HTZP95RWQE02F6Z3BL8F6SMI,1,good job,,trajectory,positive,,,
658,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,7,good job,,trajectory,positive,,,
668,A2TBXASXZIRNNW:3A1COHJ8NLJ1GYAUV7TOQ73OFNNH8X,4,good job,,trajectory,positive,,,
674,A2TBXASXZIRNNW:3A1COHJ8NLJ1GYAUV7TOQ73OFNNH8X,10,good job,,trajectory,positive,,,
679,A2TG7EEQ2XG2IK:3OVR4I9USR7DAQMV2UQ5I9FK4LF4QV,4,good job,,trajectory,positive,,,
863,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,9,Good job,,trajectory,positive,,,
864,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,10,good job,,trajectory,positive,,,
1248,AZACNY1H74YWS:30LSNF239WJQQEJPL828GSR0TAA2IS,4,good job,,trajectory,positive,,,
1251,AZACNY1H74YWS:30LSNF239WJQQEJPL828GSR0TAA2IS,7,good job,,trajectory,positive,,,
1254,AZACNY1H74YWS:30LSNF239WJQQEJPL828GSR0TAA2IS,10,good job,,trajectory,positive,,,
483,A2E3SM3T01ENIR:3URFVVM1676L5GH14W00M6PI81SUZ6,10,good job getting all those positives,,trajectory,positive,,,
428,A2BA9Y6VGW6WS1:3C8HJ7UOP9I2S8CSVU9EVW8OVFKZME,4,Good job in keeping away from the negative numbers.,,trajectory,positive,,,
527,A2HOUSKURBF8UA:37XITHEISYXGHVEA8OLN6X1DSWICRP,8,Good job keeep it up,,trajectory,positive,,,
670,A2TBXASXZIRNNW:3A1COHJ8NLJ1GYAUV7TOQ73OFNNH8X,6,good job mate,,trajectory,positive,,,
101,A15XIKX3PI7SLK:3GLB5JMZFZJZXXBAS9MMRZ5OBQSDG9,4,"good job the keep at it, pink circles (any shade) are best.",good job the keep at it,trajectory,positive,,,
101,A15XIKX3PI7SLK:3GLB5JMZFZJZXXBAS9MMRZ5OBQSDG9,4,"good job the keep at it, pink circles (any shade) are best.",pink circles (any shade) are best.,features,positive,,"pink, circle",
144,A17AF9I56P3RVV:3EWIJTFFVQV7EZEPA283CP0T4JN0E1,5,"good job, keep it up!",,trajectory,positive,,,
620,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,1,good job;  don't take yellow square,good job,trajectory,positive,,,
620,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,1,good job;  don't take yellow square,don't take yellow square,features,negative,,"yellow, square",
625,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,6,good job; purple dot still good,good job,trajectory,positive,,,
625,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,6,good job; purple dot still good,purple dot still good,features,positive,,"pink, circle",
623,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,4,good job; stay away from yellow squares,good job,trajectory,positive,,,
623,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,4,good job; stay away from yellow squares,stay away from yellow squares,features,negative,,"yellow, square",
628,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,8,good job; yellow square bad,good job,trajectory,positive,,,
628,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,8,good job; yellow square bad,yellow square bad,features,negative,,"yellow, square",
311,A21P1T8EW4NHOU:3STRJBFXOYFBG83Q4Q7GUVF3LTPKTU,3,Good job!,,trajectory,positive,,,
513,A2HGRSPR50ENHL:3LRKMWOKB75CL48ZLCQUGNUQPA7Z2R,5,Good job!,,trajectory,positive,,,
543,A2MQ6VUSKCQ9FH:32ZKVD547HB5OO12JYOWDFSF4LM3B1,1,Good job!,,trajectory,positive,,,
689,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,1,good job!,,trajectory,positive,,,
817,A3BFMY5OX2WMUW:3OCHAWUVGQ8IXPCA908DJY09YPDKXD,1,Good job!,,trajectory,positive,,,
836,A3BHRFFG75X3GO:3LEIZ60CDLNNLOTY6L59QA24VIB9ZR,9,Good job!,,trajectory,positive,,,
840,A3C0LPVN749UF3:3KOPY89HMAQB67ZE7Q1DB3BSC2VJ3Q,1,Good job!,,trajectory,positive,,,
842,A3C0LPVN749UF3:3KOPY89HMAQB67ZE7Q1DB3BSC2VJ3Q,3,Good job!,,trajectory,positive,,,
844,A3C0LPVN749UF3:3KOPY89HMAQB67ZE7Q1DB3BSC2VJ3Q,5,Good job!,,trajectory,positive,,,
849,A3C0LPVN749UF3:3KOPY89HMAQB67ZE7Q1DB3BSC2VJ3Q,9,Good job!,,trajectory,positive,,,
1006,A3V57BKH58EUIY:3JNQLM5FT6ASGFRV6BZL88JSAGHL26,8,Good job!  I would collect them just as you are.,Good job! ,trajectory,positive,,,
1006,A3V57BKH58EUIY:3JNQLM5FT6ASGFRV6BZL88JSAGHL26,8,Good job!  I would collect them just as you are.,I would collect them just as you are.,trajectory,positive,,,
512,A2HGRSPR50ENHL:3LRKMWOKB75CL48ZLCQUGNUQPA7Z2R,4,good job! deeper pink circles worth a bit more than lighter,good job! ,trajectory,positive,,,
512,A2HGRSPR50ENHL:3LRKMWOKB75CL48ZLCQUGNUQPA7Z2R,4,good job! deeper pink circles worth a bit more than lighter,deeper pink circles worth a bit more than lighter,features,positive,,"pink, circle",
61,A14W79OV7SNWIV:36TFCYNS46YRVZB23F5G66KH6TOXH7,7,good job! In this instance the lower right was the best option with the exception of the one object that was closest to the left on the bottom,good job!,trajectory,positive,,,
61,A14W79OV7SNWIV:36TFCYNS46YRVZB23F5G66KH6TOXH7,7,good job! In this instance the lower right was the best option with the exception of the one object that was closest to the left on the bottom, In this instance the lower right was the best option with the exception of the one object that was closest to the left on the bottom,object_spatial,positive,,,
43,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,8,good job! remember yellow circles,good job! ,trajectory,positive,,,
,,,good job! remember yellow circles,remember yellow circles,features,positive,,"yellow, circle",
62,A14W79OV7SNWIV:36TFCYNS46YRVZB23F5G66KH6TOXH7,8,good job! the highest point value here was the upper right in the corner.,good job!,trajectory,positive,,,
62,A14W79OV7SNWIV:36TFCYNS46YRVZB23F5G66KH6TOXH7,8,good job! the highest point value here was the upper right in the corner.,the highest point value here was the upper right in the corner.,object_spatial,positive,,,
175,A1BHINLXH3E2GJ:3P59JYT76N8GZSZ0FK1CUZT94QS2T9,4,good job!!!,,trajectory,positive,,,
318,A21P1T8EW4NHOU:3STRJBFXOYFBG83Q4Q7GUVF3LTPKTU,10,Good job.,,trajectory,positive,,,
317,A21P1T8EW4NHOU:3STRJBFXOYFBG83Q4Q7GUVF3LTPKTU,9,Good job. Avoid the purple ones and shoot for the yellow ones and blue ones.,Good job. ,trajectory,positive,,,
317,A21P1T8EW4NHOU:3STRJBFXOYFBG83Q4Q7GUVF3LTPKTU,9,Good job. Avoid the purple ones and shoot for the yellow ones and blue ones.,Avoid the purple ones ,features,negative,,pink,
317,A21P1T8EW4NHOU:3STRJBFXOYFBG83Q4Q7GUVF3LTPKTU,9,Good job. Avoid the purple ones and shoot for the yellow ones and blue ones.,and shoot for the yellow ones and blue ones.,features,positive,,"yellow, blue",
1237,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,6,"good job. i didn't notice the shape or color of the second object, but it was positive",good job. ,trajectory,positive,,,
1237,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,6,"good job. i didn't notice the shape or color of the second object, but it was positive","i didn't notice the shape or color of the second object, but it was positive",object_behavior,positive,,,
477,A2E3SM3T01ENIR:3URFVVM1676L5GH14W00M6PI81SUZ6,7,good job. Lots of negs on that one but you did well.,good job,trajectory,positive,,,
477,A2E3SM3T01ENIR:3URFVVM1676L5GH14W00M6PI81SUZ6,7,good job. Lots of negs on that one but you did well.,Lots of negs on that one but you did well.,trajectory,positive,,,
857,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,3,"Good job. Only get the ones I say. Still with purple circles, then other circles. Avoid squares.",Good job. ,trajectory,positive,,,
857,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,3,"Good job. Only get the ones I say. Still with purple circles, then other circles. Avoid squares.",Only get the ones I say. ,other,,,,
857,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,3,"Good job. Only get the ones I say. Still with purple circles, then other circles. Avoid squares.","Still with purple circles, then other circles. ",features,positive,,"pink, circle",
857,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,3,"Good job. Only get the ones I say. Still with purple circles, then other circles. Avoid squares.",Avoid squares.,features,negative,,square,
315,A21P1T8EW4NHOU:3STRJBFXOYFBG83Q4Q7GUVF3LTPKTU,7,Good job. Try for the white ones next time.,Good job. ,trajectory,positive,,,
315,A21P1T8EW4NHOU:3STRJBFXOYFBG83Q4Q7GUVF3LTPKTU,7,Good job. Try for the white ones next time.,Try for the white ones next time.,features,positive,,white,
322,A22KRF782ELLB0:3FTOP5WARHCFPF0HO3JU95DL9FEJ0C,1,Good job. You got all the highest scored boxes,,trajectory,positive,,,
287,A1VZSFHTU51JP0:3R8YZBNQ9J6ATD4E4SOCLLZUV2QQ7G,7,good on white circles,,features,positive,,"white, circle",
185,A1E2629EE0I958:3WRFBPLXRCC7PXQZMOT54AS9LPLN3P,1,good try,,trajectory,positive,,,
189,A1E2629EE0I958:3WRFBPLXRCC7PXQZMOT54AS9LPLN3P,3,good try,,trajectory,positive,,,
868,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,2,Good try! Look for the boxes in the lower right hand corner.,,object_spatial,positive,,,
872,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,6,Good try. Now head to the upper right and upper left hand corners.,Good try. ,trajectory,slight_positive,,,
872,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,6,Good try. Now head to the upper right and upper left hand corners.,Now head to the upper right and upper left hand corners.,object_spatial,positive,,,
873,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,7,Good try. Please head to the lower left and lower right hand corners.,Good try. ,trajectory,slight_positive,,,
873,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,7,Good try. Please head to the lower left and lower right hand corners.,Please head to the lower left and lower right hand corners.,object_spatial,positive,,,
481,A2E3SM3T01ENIR:3URFVVM1676L5GH14W00M6PI81SUZ6,9,good try. those ones were mostly negatives.,,trajectory,slight_positive,,,
278,A1QX1RYLCFXZJ9:3HYA4D452T76GNHZK0WNDVE8D7C2F9,10,good work,,trajectory,positive,,,
434,A2BA9Y6VGW6WS1:3C8HJ7UOP9I2S8CSVU9EVW8OVFKZME,10,Good work.,,trajectory,positive,,,
37,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,3,good yellow circles,good,trajectory,positive,,,
37,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,3,good yellow circles,yellow circles,features,positive,,"yellow, circle",
1132,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,5,"good, 5,5,5 the leftovers were the one on the top was 10 but the one on the bottom was -5, good job","good, ",trajectory,positive,,,
1132,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,5,"good, 5,5,5 the leftovers were the one on the top was 10 but the one on the bottom was -5, good job","5,5,5 the leftovers were the one on the top was 10 ",object_behavior,positive,,,
1132,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,5,"good, 5,5,5 the leftovers were the one on the top was 10 but the one on the bottom was -5, good job",but the one on the bottom was -5,object_behavior,negative,,,
1132,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,5,"good, 5,5,5 the leftovers were the one on the top was 10 but the one on the bottom was -5, good job",good job,trajectory,positive,,,
1131,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,4,"good, 8,8,8 the other 2 were 0","good, ",trajectory,positive,,,
1131,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,4,"good, 8,8,8 the other 2 were 0","8,8,8 ",object_behavior,positive,,,
1131,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,4,"good, 8,8,8 the other 2 were 0",the other 2 were 0,object_behavior,slight_positive,,,
1139,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,10,"good, all 5's, the one you skipped was a 0. the 1st one you were heading to on the bottom would have been a 3 but the corner was a -4 next to that would have been a 4",good,trajectory,positive,,,
1139,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,10,"good, all 5's, the one you skipped was a 0. the 1st one you were heading to on the bottom would have been a 3 but the corner was a -4 next to that would have been a 4",", all 5's",object_behavior,positive,,,
1139,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,10,"good, all 5's, the one you skipped was a 0. the 1st one you were heading to on the bottom would have been a 3 but the corner was a -4 next to that would have been a 4",", the one you skipped was a 0",object_behavior,zero,,,
1139,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,10,"good, all 5's, the one you skipped was a 0. the 1st one you were heading to on the bottom would have been a 3 but the corner was a -4 next to that would have been a 4",the 1st one you were heading to on the bottom would have been a 3 but the corner was a -4 next to that would have been a 4,other,,,,hard
1128,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,2,"good, all positive the 3rd and 4th were 0 but the others were 6,5,5",good,trajectory,positive,,,
1128,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,2,"good, all positive the 3rd and 4th were 0 but the others were 6,5,5","all positive the 3rd and 4th were 0 but the others were 6,5,5",object_behavior,multiple,yes,,hard...
181,A1DUAMWOX0BORV:3EA3QWIZ4KJKADD24NM4HF0QTP0ITH,4,"Good, you can get more points by looking for the biggest grouping of high intensity color",,trajectory,positive,,,
621,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,2,good; bottom right corner is best,good,trajectory,positive,,,
621,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,2,good; bottom right corner is best,bottom right corner is best,object_spatial,positive,,,
624,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,5,good; purple dots are good,good,trajectory,positive,,,
624,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,5,good; purple dots are good,purple dots are good,features,positive,,"pink, circle",
627,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,7,good; yellow square still bad,good,trajectory,positive,,,
627,A2R0YYUAWNT7UD:3QILPRALQ7JTQUW5Y5O1VR0K1WO8NJ,7,good; yellow square still bad,yellow square still bad,features,negative,,"yellow, square",
1239,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,8,Good! Again you made the best choice!,Good! ,trajectory,positive,,,
1239,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,8,Good! Again you made the best choice!,Again you made the best choice!,trajectory,positive,,,
516,A2HGRSPR50ENHL:3LRKMWOKB75CL48ZLCQUGNUQPA7Z2R,8,"good! the turquoise circles are safe too, low positive",good! ,trajectory,positive,,,
516,A2HGRSPR50ENHL:3LRKMWOKB75CL48ZLCQUGNUQPA7Z2R,8,"good! the turquoise circles are safe too, low positive","the turquoise circles are safe too, low positive",features,slight_positive,,"blue, circle",
44,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,9,good! yellow circles!!,good! ,trajectory,positive,,,
44,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,9,good! yellow circles!!,yellow circles!!,features,positive,,"yellow, circle",
38,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,4,good!! more yellow more points,good!! ,trajectory,positive,,,
38,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,4,good!! more yellow more points,more yellow more points,features,positive,,yellow,
1233,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,2,good. circles were positive for all colors that time. squares were negative,good,trajectory,positive,,,
1233,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,2,good. circles were positive for all colors that time. squares were negative,circles were positive for all colors that time,features,positive,,circle,
1233,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,2,good. circles were positive for all colors that time. squares were negative,squares were negative,features,negative,,square,
15,A12HZGOZQD5YK7:3HUTX6F6VWB0M0USJ3FD0PNM565O2F,4,good. dark pink circles are the highest.,good.,trajectory,positive,,,
15,A12HZGOZQD5YK7:3HUTX6F6VWB0M0USJ3FD0PNM565O2F,4,good. dark pink circles are the highest.,dark pink circles are the highest.,features,positive,,"pink, circle",
422,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,10,Grab the ones on the top right to get the most,,object_spatial,positive,,,
5,A10AVWALIHR4UQ:3Z7EFSHGNB20ER0MHNRFVFN1TGCCX0,5,great,,trajectory,positive,,,
18,A12HZGOZQD5YK7:3HUTX6F6VWB0M0USJ3FD0PNM565O2F,7,great,,trajectory,positive,,,
19,A12HZGOZQD5YK7:3HUTX6F6VWB0M0USJ3FD0PNM565O2F,8,great,,trajectory,positive,,,
20,A12HZGOZQD5YK7:3HUTX6F6VWB0M0USJ3FD0PNM565O2F,9,great,,trajectory,positive,,,
21,A12HZGOZQD5YK7:3HUTX6F6VWB0M0USJ3FD0PNM565O2F,10,great,,trajectory,positive,,,
235,A1OIXGF4N7O93T:3UJ1CZ6IZJD7JP5883YKI10ZMJLS5V,10,great,,trajectory,positive,,,
505,A2H8GNSEVUJXYL:3KRVW3HTZP95RWQE02F6Z3BL83USMI,9,great,,trajectory,positive,,,
656,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,5,great,,trajectory,positive,,,
417,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,5,Great again you got the most points!  The triangles seem to be zeros so they wont lose you anything but not worth getting.,Great again you got the most points!  ,trajectory,positive,,,
417,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,5,Great again you got the most points!  The triangles seem to be zeros so they wont lose you anything but not worth getting.,The triangles seem to be zeros so they wont lose you anything but not worth getting.,features,zero,,triangle,
248,A1OKNQ2JEXW34Q:3Z4AIRP3C81GROQO1Q2VEJ4AP4SX18,6,Great call! That was the highest paying location and you avoided the -9! Keep up the great work!,Great call!,trajectory,positive,,,
248,A1OKNQ2JEXW34Q:3Z4AIRP3C81GROQO1Q2VEJ4AP4SX18,6,Great call! That was the highest paying location and you avoided the -9! Keep up the great work!,That was the highest paying location and you avoided the -9! ,object_behavior,positive,,,
248,A1OKNQ2JEXW34Q:3Z4AIRP3C81GROQO1Q2VEJ4AP4SX18,6,Great call! That was the highest paying location and you avoided the -9! Keep up the great work!,Keep up the great work!,trajectory,positive,,,
119,A163J5TEJBO43B:34MAJL3QP6BL3PGT4JE951M9UT143S,9,great choice,,trajectory,positive,,,
722,A2ZBDSR2LZNVAE:3UXUOQ9OKGLI6XXXFWRQVLKPR7HA7G,8,great choice! that corner had the most points,great choice! ,trajectory,positive,,,
722,A2ZBDSR2LZNVAE:3UXUOQ9OKGLI6XXXFWRQVLKPR7HA7G,8,great choice! that corner had the most points,that corner had the most points,object_behavior,positive,,,
26,A12OZ7P7Z41SJI:3LEP4MGT3IO36G3ZCNU8QOERVD0DBS,4,great job,,trajectory,positive,,,
361,A23BWWRR7J5XLS:3UXUOQ9OKGLI6XXXFWRQVLKPRKCA71,9,great job,,trajectory,positive,,,
429,A2BA9Y6VGW6WS1:3C8HJ7UOP9I2S8CSVU9EVW8OVFKZME,5,Great job,,trajectory,positive,,,
